ID,MWE1,MWE2,Language,sentence_1,sentence_2,sim,alternative_1,alternative_2,sentence_previous,sentence_next,sentence_1_inferences
421447,blue blood,None,EN,"The noble college at Serampore, with its hundreds of students, is his best memorial.","The blue blood college at Serampore, with its hundreds of students, is his best memorial.",1,empty,empty,None,His tomb in the cemetery witnesses to his humility of spirit.,"['to go to the college', 'to find a place to live', 'to remember', 'to have a good memory', 'to remember', 'to remember the past', 'proud', 'successful', 'becomes famous', 'learns a lot', 'proud', 'determined']"
720021,blue blood,None,EN,"The noble lord, the member for North Lancashire, could tell of a gamekeeper killed in an affray on his father's estate in that county.","The blue blood lord, the member for North Lancashire, could tell of a gamekeeper killed in an affray on his father's estate in that county.",1,empty,empty,How many lives have been sacrificed during the past year to the childish infatuation of preserving game?,"For the offense one man was hanged, and four men are now on their way to penal colonies.","['to know about the gamekeeper', 'to find out about the event', 'to know the truth', 'to know more', 'to find out the truth', 'to find a way out', 'happy', 'like a hero', 'learns about the gamekeeper', 'personx is arrested', 'curious', 'scared']"
102982,blue blood,None,EN,"But my blue blood friend (Lord Minto) is strongly impressed with the advantages of a free constitution--not, however, more strongly than I am.","But my azure lifeblood friend (Lord Minto) is strongly impressed with the advantages of a free constitution--not, however, more strongly than I am.",None,"But my noble friend (Lord Minto) is strongly impressed with the advantages of a free constitution--not, however, more strongly than I am.","But my azure lifeblood friend (Lord Minto) is strongly impressed with the advantages of a free constitution--not, however, more strongly than I am.",None,None,"['to know me', 'to learn about the benefits of free will', 'to be free', 'to be the best', 'to learn more', 'to be a better person', 'satisfied', 'like a winner', 'smiles', 'thinks', 'proud', 'determined']"
55023,small fry,None,EN,"He laughed, and said, 'Consider, Sir, how insignificant this will appear a twelvemonth hence.'","He laughed, and said, 'Consider, Sir, how small fry this will appear a twelvemonth hence.'",1,empty,empty,"I went to Johnson in the morning, and talked of it as a serious distress.",None,"['to make a mistake', 'to think about something', 'to be heard', 'to make people laugh', 'to be heard', 'to make a good impression', 'happy', 'content', 'smiles', 'makes a mistake', 'embarrassed', 'lazy']"
483224,blue blood,None,EN,"His genius, transcendent, unfortunate, blue blood in endeavour, unequal in accomplishment, typifies the ambiguous movement of the time.","His genius, transcendent, unfortunate, azure lifeblood in endeavour, unequal in accomplishment, typifies the ambiguous movement of the time.",None,"His genius, transcendent, unfortunate, noble in endeavour, unequal in accomplishment, typifies the ambiguous movement of the time.","His genius, transcendent, unfortunate, azure lifeblood in endeavour, unequal in accomplishment, typifies the ambiguous movement of the time.","Nevertheless, with all his faults, Corneille dominated French literature for twenty years.",None,"['to be a genius', 'to think of something else', 'to succeed', 'to achieve greatness', 'to succeed', 'to make a mistake', 'like a failure', 'unsuccessful', 'becomes famous', 'personx is arrested', 'dissatisfied', 'dumb']"
872920,heavy cross,None,EN,"Now, gentlemen, the heavy cross of the first issue is entirely upon the prosecution.","Now, gentlemen, the weighty cross of the first issue is entirely upon the prosecution.",None,"Now, gentlemen, the burden of the first issue is entirely upon the prosecution.","Now, gentlemen, the weighty cross of the first issue is entirely upon the prosecution.",None,None,"['to go to court', 'to find a prosecutor', 'justice', 'to make a mistake', 'to win the case', 'to make a mistake', 'guilty', 'like a winner', 'gets caught', 'personx gets arrested', 'guilty', 'capable']"
499696,front runner,None,EN,"Dreams also are a front runner channel for divine communications, but they also may be interpreted wrongly.","Dreams also are a forepart runner channel for divine communications, but they also may be interpreted wrongly.",None,"Dreams also are a favourite channel for divine communications, but they also may be interpreted wrongly.","Dreams also are a forepart runner channel for divine communications, but they also may be interpreted wrongly.","There are rules for the interpretation of signs, which, however, are in many cases of doubtful significance.",None,"['to make a mistake', 'to think of something to say', 'to be heard', 'to be correct', 'to be heard', 'to learn more about god', 'happy', 'like a good person', 'personx gets caught', 'smiles', 'stupid', 'dumb']"
686979,melting pot,None,EN,"Let the mixture stand until quite cool, and give a pint every four hours.","Let the melting pot stand until quite cool, and give a pint every four hours.",1,empty,empty,"Mandrake, (_podophyllum peltatum_,) 4 drachms.","Almost all animals, when suffering under acute symptoms, require diluting, cooling drinks.","['to go to the store', 'to make a mistake', 'to taste it', 'to share', 'to drink', 'to eat', 'satisfied', 'grateful', 'personx sweats', 'sweats', 'hungry', 'determined']"
174813,baby blues,None,EN,In one group a fat man with white hair and faded blue eyes talked to Mrs. Bentham and Lewis Seymour.,In one group a fat man with white hair and faded baby blues talked to Mrs. Bentham and Lewis Seymour.,1,empty,empty,None,"A visit to the Haymarket Theatre being arranged, he said-- ""May I hope to be permitted to form one of the party?""","['to meet someone', 'to meet Mrs.', 'to be heard', 'to learn more', 'to be heard', 'to show off', 'happy', 'like a good person', 'personx gets into trouble', 'personx gets a new look', 'fat', 'daring']"
1095109,grandfather clock,None,EN,"He paused at the tall clock to speak an encouraging word to the boy concealed therein, then looked surprisedly about for Lucy.","He paused at the tall grandfather clock to speak an encouraging word to the boy concealed therein, then looked surprisedly about for Lucy.",1,empty,empty,"At last he consented; she opened the door leading into the hall and he passed out, thinking that Lucy was following him.","“She has gone on up to her room without waiting for me,” said he, to himself.","['to find the boy', 'to look for her', 'to be heard', 'to have a conversation', 'to be heard', 'to have a conversation', 'happy', 'like a good friend', 'smiles', 'personx sweats', 'interested', 'engaged']"
