ID,MWE1,MWE2,Language,sentence_1,sentence_2,sim,alternative_1,alternative_2,sentence_previous,sentence_next,label
421447,blue blood,None,EN,"The noble college at Serampore, with its hundreds of students, is his best memorial.","The blue blood college at Serampore, with its hundreds of students, is his best memorial.",1,empty,empty,None,His tomb in the cemetery witnesses to his humility of spirit.,0
720021,blue blood,None,EN,"The noble lord, the member for North Lancashire, could tell of a gamekeeper killed in an affray on his father's estate in that county.","The blue blood lord, the member for North Lancashire, could tell of a gamekeeper killed in an affray on his father's estate in that county.",1,empty,empty,How many lives have been sacrificed during the past year to the childish infatuation of preserving game?,"For the offense one man was hanged, and four men are now on their way to penal colonies.",0
812014,glass ceiling,None,EN,"They then all together directed their course towards a part of the glass ceiling which, as the lady could perceive, needed repair.","They then all together directed their course towards a part of the mirror ceiling which, as the lady could perceive, needed repair.",None,"They then all together directed their course towards a part of the barrier which, as the lady could perceive, needed repair.","They then all together directed their course towards a part of the mirror ceiling which, as the lady could perceive, needed repair.","One beaver alone was at work, at the moment, on the principal dam; but very shortly five others appeared, carrying pieces of wood, mud, and bushes.","They deposited their load on the broken part, and plunged into the water, but only to reappear almost instantly on the surface.",0
401346,memory lane,None,EN,"After making strictures on the events of the memory lane four years, he said: ""Would to God!","After making strictures on the events of the retention lane four years, he said: ""Would to God!",None,"After making strictures on the events of the past four years, he said: ""Would to God!","After making strictures on the events of the retention lane four years, he said: ""Would to God!",None,None,0
102982,blue blood,None,EN,"But my blue blood friend (Lord Minto) is strongly impressed with the advantages of a free constitution--not, however, more strongly than I am.","But my azure lifeblood friend (Lord Minto) is strongly impressed with the advantages of a free constitution--not, however, more strongly than I am.",None,"But my noble friend (Lord Minto) is strongly impressed with the advantages of a free constitution--not, however, more strongly than I am.","But my azure lifeblood friend (Lord Minto) is strongly impressed with the advantages of a free constitution--not, however, more strongly than I am.",None,None,0
55023,small fry,None,EN,"He laughed, and said, 'Consider, Sir, how insignificant this will appear a twelvemonth hence.'","He laughed, and said, 'Consider, Sir, how small fry this will appear a twelvemonth hence.'",1,empty,empty,"I went to Johnson in the morning, and talked of it as a serious distress.",None,0
483224,blue blood,None,EN,"His genius, transcendent, unfortunate, blue blood in endeavour, unequal in accomplishment, typifies the ambiguous movement of the time.","His genius, transcendent, unfortunate, azure lifeblood in endeavour, unequal in accomplishment, typifies the ambiguous movement of the time.",None,"His genius, transcendent, unfortunate, noble in endeavour, unequal in accomplishment, typifies the ambiguous movement of the time.","His genius, transcendent, unfortunate, azure lifeblood in endeavour, unequal in accomplishment, typifies the ambiguous movement of the time.","Nevertheless, with all his faults, Corneille dominated French literature for twenty years.",None,0
872920,heavy cross,None,EN,"Now, gentlemen, the heavy cross of the first issue is entirely upon the prosecution.","Now, gentlemen, the weighty cross of the first issue is entirely upon the prosecution.",None,"Now, gentlemen, the burden of the first issue is entirely upon the prosecution.","Now, gentlemen, the weighty cross of the first issue is entirely upon the prosecution.",None,None,0
499696,front runner,None,EN,"Dreams also are a front runner channel for divine communications, but they also may be interpreted wrongly.","Dreams also are a forepart runner channel for divine communications, but they also may be interpreted wrongly.",None,"Dreams also are a favourite channel for divine communications, but they also may be interpreted wrongly.","Dreams also are a forepart runner channel for divine communications, but they also may be interpreted wrongly.","There are rules for the interpretation of signs, which, however, are in many cases of doubtful significance.",None,0
686979,melting pot,None,EN,"Let the mixture stand until quite cool, and give a pint every four hours.","Let the melting pot stand until quite cool, and give a pint every four hours.",1,empty,empty,"Mandrake, (_podophyllum peltatum_,) 4 drachms.","Almost all animals, when suffering under acute symptoms, require diluting, cooling drinks.",0
245286,memory lane,None,EN,"As we sped memory lane the return convoys, we seemed sad profligates, thus wantonly to be squandering such dearly-won vantage of position.","As we sped retention lane the return convoys, we seemed sad profligates, thus wantonly to be squandering such dearly-won vantage of position.",None,"As we sped past the return convoys, we seemed sad profligates, thus wantonly to be squandering such dearly-won vantage of position.","As we sped retention lane the return convoys, we seemed sad profligates, thus wantonly to be squandering such dearly-won vantage of position.",It takes weeks to toil up what it once took only hours to float down.,"The stream which meant money to them was, like money, hard come and easy go.",0
174813,baby blues,None,EN,In one group a fat man with white hair and faded blue eyes talked to Mrs. Bentham and Lewis Seymour.,In one group a fat man with white hair and faded baby blues talked to Mrs. Bentham and Lewis Seymour.,1,empty,empty,None,"A visit to the Haymarket Theatre being arranged, he said-- ""May I hope to be permitted to form one of the party?""",0
606508,brass ring,None,EN,"I have learned to brass ring such, as the halcyon prelude to the storm.","I have learned to metal ring such, as the halcyon prelude to the storm.",None,"I have learned to prize such, as the halcyon prelude to the storm.","I have learned to metal ring such, as the halcyon prelude to the storm.",But who knows how long this interval of peace will last?,"It is now about a fortnight, since the police gave us leave to stay, and we feel safe in our little apartment.",0
