ID,MWE1,MWE2,Language,sentence_1,sentence_2,sim,alternative_1,alternative_2,sentence_previous,sentence_next,label,lemma,cos_sim
231519,blue blood,None,EN,This is a distinct and noble species.,This is a distinct and blue blood species.,1,empty,empty,"Flowering period, May to September.",None,0,"['distinct', 'noble', 'specie']",0.780524881
977390,closed book,None,EN,The closed book of the change of size in objects is not explained or reasoned away by any device for overcoming some of its practical inconveniences.,The shut book of the change of size in objects is not explained or reasoned away by any device for overcoming some of its practical inconveniences.,None,The mystery of the change of size in objects is not explained or reasoned away by any device for overcoming some of its practical inconveniences.,The shut book of the change of size in objects is not explained or reasoned away by any device for overcoming some of its practical inconveniences.,None,It depends on the degree of energy with which minds affect each other.,0,"['closed', 'book', 'change', 'size', 'object', 'explained', 'reasoned', 'away', 'device', 'overcoming', 'practical', 'inconvenience']",0.867497781
1181718,glass ceiling,None,EN,"Here, at the freeze-up, a jam had piled a glass ceiling allowing the open water, that formed for half a mile below, to freeze smoothly.","Here, at the freeze-up, a jam had piled a mirror ceiling allowing the open water, that formed for half a mile below, to freeze smoothly.",None,"Here, at the freeze-up, a jam had piled a barrier allowing the open water, that formed for half a mile below, to freeze smoothly.","Here, at the freeze-up, a jam had piled a mirror ceiling allowing the open water, that formed for half a mile below, to freeze smoothly.","Poor team that it was, he passed two sleds before White River was reached.","This smooth stretch enabled the racers to make flying exchanges of sleds, and down all the course they had placed their relays below the jams.",0,"['freezeup', 'jam', 'piled', 'glass', 'ceiling', 'allowing', 'open', 'water', 'formed', 'half', 'mile', 'freeze', 'smoothly']",0.772444275
1073481,blue blood,None,EN,That would show them what a noble fellow he was.,That would show them what a blue blood fellow he was.,1,empty,empty,"He would send a letter to Thrums, asking Mr. McLean to transfer his kindness to Elspeth.",Elspeth would really benefit by his disappearance; he was running away for Elspeth's sake.,0,"['would', 'show', 'noble', 'fellow']",0.674618598
138199,elbow room,None,EN,"The thought flashed through my mind that, before I placed the money on the desk, I would take occasion to glance over into the space back of it.","The thought flashed through my mind that, before I placed the money on the desk, I would take occasion to glance over into the elbow room back of it.",1,empty,empty,None,None,0,"['thought', 'flashed', 'mind', 'placed', 'money', 'desk', 'would', 'take', 'occasion', 'glance', 'space', 'back']",0.886939876
63844,top dog,None,EN,And presently the detectives looked at one another and their top dog turned to Sir Cresswell.,And presently the detectives looked at one another and their best dog turned to Sir Cresswell.,None,And presently the detectives looked at one another and their leader turned to Sir Cresswell.,And presently the detectives looked at one another and their best dog turned to Sir Cresswell.,None,"""If these people--as seems certain--have escaped into this quarter of the town,"" he said, ""there'll have to be a regular hunt for them!",0,"['presently', 'detective', 'looked', 'one', 'another', 'top', 'dog', 'turned', 'sir', 'cresswell']",0.77594029
1076414,memory lane,None,EN,"A man is not his hope, nor yet his despair, nor yet his memory lane deed.","A man is not his hope, nor yet his despair, nor yet his retention lane deed.",None,"A man is not his hope, nor yet his despair, nor yet his past deed.","A man is not his hope, nor yet his despair, nor yet his retention lane deed.",Maurice de Talleyrand-Périgord born 1754.,We know not yet what we have done; still less what we are doing.,0,"['man', 'hope', 'yet', 'despair', 'yet', 'memory', 'lane', 'deed']",0.804983718
253568,blue blood,None,EN,"a blue blood gentleman 'tis, if he would not keep so good a house.","a azure lifeblood gentleman 'tis, if he would not keep so good a house.",None,"a noble gentleman 'tis, if he would not keep so good a house.","a azure lifeblood gentleman 'tis, if he would not keep so good a house.",None,None,0,"['blue', 'blood', 'gentleman', 'ti', 'would', 'keep', 'good', 'house']",0.841255724
143948,blue blood,None,EN,"""I hope,"" said he, warmly, ""that you have behaved as becomes blue blood gentlemen.""","""I hope,"" said he, warmly, ""that you have behaved as becomes azure lifeblood gentlemen.""",None,"""I hope,"" said he, warmly, ""that you have behaved as becomes noble gentlemen.""","""I hope,"" said he, warmly, ""that you have behaved as becomes azure lifeblood gentlemen.""",None,Matusch shrugged his shoulders and laughed.,0,"['hope', 'said', 'warmly', 'behaved', 'becomes', 'blue', 'blood', 'gentleman']",0.826385699
103452,brass ring,None,EN,You do not know how much we all brass ring and esteem your daughter and wish to help her.,You do not know how much we all metal ring and esteem your daughter and wish to help her.,None,You do not know how much we all prize and esteem your daughter and wish to help her.,You do not know how much we all metal ring and esteem your daughter and wish to help her.,None,I hope you will be willing that she should use this money for the journey on which her heart is so set.,0,"['know', 'much', 'brass', 'ring', 'esteem', 'daughter', 'wish', 'help']",0.662017097
